"Carimbo de data/hora","1. Você usa algum repositório online como fonte de pesquisa? (Por exemplo a Hemeroteca Digital Brasileira, JusBrasil, ou repositórios de fontes do Arquivo Nacional ou demais arquivos públicos ou privados)","1.1. Quais são os repositórios utilizados? Marque quantos forem necessários.","1. 2. Qual principal repositório utilizado por você nos últimos anos (a partir da lista anterior)? As respostas das seções posteriores devem levar em consideração esse repositório.","1. 3. Por quanto tempo você tem utilizado esse repositório?","2. Você usa o repositório como:","3. Numa visão mais ampla, você entende que o uso do repositório mudou a sua prática de pesquisa?","4. Justifique:","5. Você entende que o uso de repositórios online de fontes pode modificar o aspectos teóricos da pesquisa em história?","6. Você acha que o uso dos repositórios online pode possibilitar o desenvolvimento de novas abordagens analíticas sobre temas já consolidados na historiografia? Ou seja, possibilitam novas perguntas, novos problemas sobre temas já explorados?","7. Em algum momento da sua pesquisa houve discussão sobre metodologias digitais para o fazer historiográfico?","8.  Ao utilizar o repositório online, as ferramentas ou interfaces gráficas digitais do mesmo sofreram avaliação crítica?","9. Ao utilizar esses repositórios, você aplica algum procedimento metodológico específico?","10. Ao pesquisar em repositórios de fontes digitais, você mantém algum procedimento sistematizado de registro metodológico das buscas e resultados encontrados?","10. 1. Caso a resposta da questão anterior for positiva, poderia descrever de forma resumida tal método?","11. Ao lidar com esses repositórios, você possui acesso a suporte de setores técnicos dos arquivos e bibliotecas?","12. Ao utilizar esses repositórios, você consegue mensurar e compreender todo o escopo dos seus acervos? Ou seja, através da interface gráfica e dos recursos disponível, é possível avaliar  o todo dos dados disponíveis para o usuário?","13. O repositório retorna resultados de busca satisfatórios?","14. Os parâmetros utilizados pelo mecanismo de busca são evidenciados para o usuário? Ou seja, é possível identificar se os resultados são gerados por busca em metadados, palavras-chave criadas por setores técnicos, ou busca textual na própria fonte, etc?","15. Sobre os resultados obtidos, você avalia que representam um retrato fidedigno do acervo pesquisado?","16. O repositório apresenta algum tipo de erro frequente que atrapalha seu uso?","17. Qual seu grau de confiança para utilizar repositórios online de fontes digitais?","18. Você entende que a atual formação universitária em História atende os desafios do uso de repositórios online de fontes digitais?","19. Seu curso possui alguma disciplina que trabalhe conceitos, métodos e ferramentas digitais para o fazer historiográfico?","20. Gostaria de ter formação em ferramentas digitais que possam potencializar o seu trabalho de investigação?","20. 1. Se respondeu afirmativamente à questão anterior indique a(s) forma(s) como gostaria de usar as ferramentas digitais","20. 2. Qual dos seguintes métodos você vê com mais interesse para aplicar na sua área de investigação?","21. Caso queira, deixe aqui algum comentário sobre a utilização que o formulário não tenha abarcado:"
"2022/04/09 7:11:05 PM GMT+1","Sim","Acervos de Arquivos Públicos (Arquivo Nacional, APEB, APERJ, etc);Biblioteca Nacional Digital;Periódicos Capes;CPDOC FGV","APEB","Até 5 anos","em conjunto com outras fontes em suportes não digitais.","3","Tenho algum material transcrito ou digitalizado por mim ainda não compulsado, por isso o acesso aos acervos digitais, quando acontecem, costumam se dar de modo complementar.","1","1","Não","Não","Não","Sim","Prints com anotações em bloco de notas","3","3","2","2","2","4","4","5","Não","Sim","Instrumentos de análise;Acesso a base de dados;Ensino de história","Análise textual",""
"2022/04/11 5:30:08 PM GMT+1","Não","","","","","","","","","","","","","","","","","","","","3","4","Não","Sim","Instrumentos de obtenção e gestão de dados","Gestão de base de dados",""
"2022/04/11 7:32:58 PM GMT+1","Sim","Hemeroteca Digital Brasileira;Acervos de Arquivos Públicos (Arquivo Nacional, APEB, APERJ, etc);Portal Domínio Público;Repositórios Institucionais de Universidades Privadas (teses, dissertações, monografias);Biblioteca Nacional Digital;Periódicos Capes;Biblioteca do Congresso (EUA)","Acervo Casa de Ruy Barbosa","Até 1 ano","em conjunto com outras fontes em suportes não digitais.","5","O acesso as fontes acontece mesmo morando em estado diferente da instituição","5","5","Não","Não","Não","Sim","Elejo palavras chaves para realizar a busca em diferentes plataformas","4","4","4","3","4","4","4","4","Não","Sim","Instrumentos de análise;Acesso a base de dados;Ferramentas ligadas à construção de acervos e exposições;Ensino de história","Análise textual",""
"2022/04/11 11:34:11 PM GMT+1","Sim","Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Portal Domínio Público;Biblioteca Nacional Digital","Biblioteca Nacional Digital","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","2","Mudou pouco por já utilizá-la como principal referência para pesquisas","4","4","Não","Não","Sim","Não","","1","5","4","2","2","5","4","3","Não","Sim","Programação;Ensino de história","Análise de séries temporais;Gestão de base de dados",""
"2022/04/12 12:58:55 AM GMT+1","Não","","","","","","","","","","","","","","","","","","","","5","5","Não","Sim","Instrumentos de obtenção e gestão de dados;Instrumentos de análise;Acesso a base de dados;Programação;Ferramentas ligadas à construção de acervos e exposições;Meio de comunicação e disseminação de pesquisas;Ensino de história","Análise de séries temporais",""
"2022/04/12 1:48:12 PM GMT+1","Sim","FamilySearch;Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Portal Domínio Público;Periódicos Capes","Repositórios das universidades públicas","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","5","Acesso rápido a estudos recém defendidos, pesquisados, com temas atuais que refletem questões da história do tempo presente, mas também questões ancoradas nos processos históricos.","5","5","Sim","Sim","Não","Não","","1","1","3","3","3","4","5","1","Não","Sim","Instrumentos de análise;Acesso a base de dados;Ferramentas ligadas à construção de acervos e exposições;Meio de comunicação e disseminação de pesquisas;Ensino de história","Análise de redes;Análise qualitativa;Edição digital",""
"2022/04/15 4:10:21 AM GMT+1","Sim","Hemeroteca Digital Brasileira;Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Acervos de Arquivos Públicos (Arquivo Nacional, APEB, APERJ, etc);Portal Domínio Público;Periódicos Capes","CAPES; Scielo; google scholar ","Até 1 ano","em conjunto com outras fontes em suportes não digitais.","5","Ampliou de sobremaneira meu acesso a documentações que até então eram limitadas por conta da minha localização geográfica (universidade no interior do estado da bahia); sobretudo o acesso e análise de documentações de naturezas diversas.","5","5","Não","Não","Sim","Sim","Eram basicamente 3 momentos de busca nos periódicos, uma mais superficial de aproximação do meu objeto de pesquisa com busca por palavras-chave, depois uma catalogação desses documentos e arquivamento dos selecionados em pastas no drive (categorizando os materiais), por último uma análise mais qualitativa do material coletado. (não sei se era essa a resposta)","1","1","3","4","3","5","4","5","Não","Sim","Instrumentos de obtenção e gestão de dados;Instrumentos de análise;Acesso a base de dados;Ferramentas ligadas à construção de acervos e exposições;Meio de comunicação e disseminação de pesquisas;Ensino de história","Análise qualitativa;Análise textual;Edição digital;Gestão de base de dados",""
"2022/04/20 3:32:47 PM GMT+1","Sim","Hemeroteca Digital Brasileira;FamilySearch;Internet Archvives;Acervos de Arquivos Públicos (Arquivo Nacional, APEB, APERJ, etc);Portal Brasileiro de Dados Abertos;Portal Domínio Público;Biblioteca Nacional Digital;Periódicos Capes;Como historiador e medievalista, uso todos os links desse site: https://letham.ufba.br/outros-enderecos","Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias)","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","5","Os repositórios das universidades públicas permitem acesso a material (livros, monografias, dissertações e teses) de forma rápida, democrática e gratuita. ","5","5","Sim","Sim","Sim","Sim","Faço levantamento sistemático, contabilizando quantitativamente o material coletado, distribuindo por ano, autor e tema, mas, em seguida, faço leituras e análise qualitativas para ordená-los em correntes historiográficas. ","2","3","1","4","4","4","4","4","Sim","Sim","Instrumentos de obtenção e gestão de dados;Instrumentos de análise;Acesso a base de dados;Ferramentas ligadas à construção de acervos e exposições;Meio de comunicação e disseminação de pesquisas;Ensino de história;Produção de multimídias capazes de viabilizar o ensino de história.","Análise de redes;Análise de séries temporais;Análise qualitativa;Análise textual;Edição digital",""
"2022/04/20 6:24:52 PM GMT+1","Sim","Hemeroteca Digital Brasileira;JusBrasil;Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Biblioteca Digital do Senado;Periódicos Capes","Repositórios institucionais das universidades públicas ","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","3","Tenho os repositórios como uma fonte usual, dentre outras, desde sempre. ","3","5","Sim","Não","Sim","Sim","Salvo e catálogo as fontes que utilizo. ","1","3","3","3","3","3","4","4","Sim","Sim","Acesso a base de dados;Ferramentas ligadas à construção de acervos e exposições;Meio de comunicação e disseminação de pesquisas;Ensino de história","Análise de séries temporais;Análise textual;Edição digital",""
"2022/04/20 8:08:21 PM GMT+1","Sim","Hemeroteca Digital Brasileira;Biblioteca Nacional Digital;Biblioteca Nacional de Portugal","Biblioteca Nacional de Portugal","Até 5 anos","em conjunto com outras fontes em suportes não digitais.","4","uma vez que nos faz repensar sobre a metodologia de pesquisa","4","4","Sim","Sim","Sim","Não","","2","2","5","5","5","5","5","4","Não","Sim","Acesso a base de dados;Ensino de história","Análise qualitativa;Análise textual",""
"2022/04/21 1:45:04 AM GMT+1","Sim","Hemeroteca Digital Brasileira;Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Acervos de Arquivos Públicos (Arquivo Nacional, APEB, APERJ, etc);Biblioteca Digital do Senado;Portal Domínio Público;Repositórios Institucionais de Universidades Privadas (teses, dissertações, monografias);Biblioteca Nacional Digital;Periódicos Capes;Biblioteca Nacional de Portugal, Slave Voyages, Biblioteca Brasiliana, Centro de documentação farmacêutica - Coimbra, Arquivo Histórico Ultramarino, google Books, Hemeroteca Municipal de Lisboa.Memórias de África e do Oriente,","Biblioteca Nacional de Portugal e Google Books.","Até 5 anos","em conjunto com outras fontes em suportes não digitais.","4","Acesso rápido e de qualidade a fontes diversas.","3","3","Sim","Sim","Sim","Sim","Criação de bancos de dados, planilhas, buscas por assuntos, etc.","2","3","3","5","4","5","5","5","Não","Sim","Instrumentos de obtenção e gestão de dados;Instrumentos de análise;Acesso a base de dados;Programação;Ferramentas ligadas à construção de acervos e exposições;Ensino de história","Análise de séries temporais;Análise qualitativa;Gestão de base de dados",""
"2022/04/21 11:38:10 PM GMT+1","Sim","Hemeroteca Digital Brasileira;Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Acervos de Arquivos Públicos (Arquivo Nacional, APEB, APERJ, etc);Biblioteca Digital do Senado;Biblioteca Digital da Câmara dos Deputados;Portal Domínio Público;Repositórios Institucionais de Universidades Privadas (teses, dissertações, monografias);Biblioteca Nacional Digital;Periódicos Capes;Biblioteca do Congresso (EUA);Brasil nunca mais digital; Comissao Nacional da Verdade; Comissao Milton Santos de memoria e verdade UFBA ETC","HEMEROTECA DIGITAL","Até 5 anos","em conjunto com outras fontes em suportes não digitais.","3","Evidencia o potencial da web como fonte de pesquisa e ensino","4","5","Sim","Sim","Sim","Sim","No caso da Hemeroteca digital, anotar sempre palavras de busca, resultados e trasncrever ou digitalizar os achados empiricos. Isso eh importante pq ha muito dinamismo.nos.mecanismo de busca No caso de bancos de memoria no youtube, anoto visualizacoes, comentarios, curtidas etc. Isso ajuda a pensar ne recepcao daquelas narrativas. Alem disso, ha protocolos metodologicos mais especificos que variam.","1","1","4","2","2","4","4","1","Não","Sim","Instrumentos de obtenção e gestão de dados;Instrumentos de análise;Acesso a base de dados;Ferramentas ligadas à construção de acervos e exposições;Meio de comunicação e disseminação de pesquisas;Ensino de história","Análise de séries temporais;Análise qualitativa;Análise textual;Edição digital;Gestão de base de dados","Parabens pela pesquisa. "
"2022/04/22 4:31:49 PM GMT+1","Sim","FamilySearch;Acervos de Arquivos Públicos (Arquivo Nacional, APEB, APERJ, etc)","Acervo do Arquivo Nacional da Torre do Tombo (Portugal)","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","5","Permite um acesso a imagens de fontes documentais sem a necessidade de presença física no arquivo, bem como (num ponto prévio) uma forma facilitada de pesquisa na base de dados do arquivo, algo que antes só era possível através da consulta sistemática dos índices de fundos impressos e manuscritos.","2","4","Não","Não","Sim","Não","","4","4","4","2","4","3","5","4","Sim","Sim","Instrumentos de obtenção e gestão de dados;Instrumentos de análise;Acesso a base de dados;Ferramentas ligadas à construção de acervos e exposições;Meio de comunicação e disseminação de pesquisas;Ensino de história","Análise de redes;Análise qualitativa;Análise textual;Gestão de base de dados",""
"2022/04/26 2:54:18 PM GMT+1","Sim","Hemeroteca Digital Brasileira;Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Acervos de Arquivos Públicos (Arquivo Nacional, APEB, APERJ, etc);Biblioteca Digital do Senado;Portal Domínio Público;Repositórios Institucionais de Universidades Privadas (teses, dissertações, monografias);Biblioteca Nacional Digital;Periódicos Capes","Periódicos Capes e repositórios de universidades públicas. ","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","5","Eu não preciso sair de casa para ter acesso aos artigos científicos e às teses e dissertações.","3","3","Sim","Sim","Sim","Sim","Uso palavras chave, faço marcações, quando é possível. ","1","4","3","4","4","3","4","5","Sim","Sim","Instrumentos de análise;Acesso a base de dados;Ferramentas ligadas à construção de acervos e exposições;Meio de comunicação e disseminação de pesquisas;Ensino de história","Análise qualitativa;Análise textual;Edição digital;Gestão de base de dados",""
"2022/04/28 7:04:37 PM GMT+1","Sim","Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Internet Archvives;Repositórios Institucionais de Universidades Privadas (teses, dissertações, monografias);Periódicos Capes;Arquivos e bibliotecas europeias e africanas , também scielo, google books e academico books","mozambiquehistory.net","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","5","É o melhor e mais completo repositório de fontes sobre Moçambique","5","5","Sim","Sim","Sim","Não","","1","5","5","1","4","1","5","3","Não","Não","","","Tenho publicado um artigo justamente sobre este tema no qual discuto ""os impactos teórico-metodológicos para o ofício de historiadores/as e professores/as de história gerado pelo avanço tanto dos acervos digitais de fontes primárias quanto das ferramentas digitais para pesquisa, escrita e ensino da disciplina."". "
"2022/04/29 3:54:10 PM GMT+1","Sim","Hemeroteca Digital Brasileira;JusBrasil;Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Internet Archvives;Biblioteca Digital do Senado;Biblioteca Nacional Digital;Biblioteca do Congresso (EUA)","Internet Archvives","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","5","Novas possibilidades de resultados, novos meios, novos achados.","1","5","Não","Sim","Não","Não","","1","1","5","5","3","5","5","5","Não","Sim","Acesso a base de dados;Ferramentas ligadas à construção de acervos e exposições","Análise textual",""
"2022/05/03 7:10:32 PM GMT+1","Sim","Hemeroteca Digital Brasileira;JusBrasil;FamilySearch;Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Acervos de Arquivos Públicos (Arquivo Nacional, APEB, APERJ, etc);Biblioteca Digital do Senado;Biblioteca Digital da Câmara dos Deputados;Portal Domínio Público;Repositórios Institucionais de Universidades Privadas (teses, dissertações, monografias);Biblioteca Nacional Digital;Periódicos Capes","www.crl.edu","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","4","Praticidade e economia de tempo.","5","5","Não","Não","Sim","Não","","3","5","3","5","1","3","5","2","Sim","Sim","Instrumentos de obtenção e gestão de dados;Instrumentos de análise;Acesso a base de dados;Ferramentas ligadas à construção de acervos e exposições;Meio de comunicação e disseminação de pesquisas;Ensino de história","Análise qualitativa;Gestão de base de dados",""
"2022/05/04 4:16:47 AM GMT+1","Sim","Hemeroteca Digital Brasileira;FamilySearch;Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Internet Archvives;Acervos de Arquivos Públicos (Arquivo Nacional, APEB, APERJ, etc);Biblioteca Digital do Senado;Biblioteca Digital da Câmara dos Deputados;Portal Domínio Público;Biblioteca Nacional Digital;Periódicos Capes;Biblioteca do Congresso (EUA);Brasiliana Mindlin; CRL; Bibliotecas Nacionais Europeias (Portugal, Espanha, França, etc.)","BN Digital","Até 5 anos","em conjunto com outras fontes em suportes não digitais.","4","Tornou amplamente acessíveis fontes anteriormente disponíveis apenas por meio de consulta presencial, e facilitou, sobremaneira, o trabalho com fontes imagéticas/visuais, para as quais o trabalho de documentação (transcrição/fichamento/descrição) nunca era exaustivo, exigindo a reprodução das mesmas - o que nem sempre era possível. Mudanças de ordem quantitativa e qualitiva, portanto.","4","4","Sim","Sim","Sim","Não","","3","2","4","2","2","3","3","5","Não","Sim","Instrumentos de obtenção e gestão de dados;Instrumentos de análise;Meio de comunicação e disseminação de pesquisas","Sistema de informação geográfica;Gestão de base de dados","Apenas parabenizar a equipe do projeto pela iniciativa, que considero mais que oportuna, urgente."
"2022/05/10 6:34:25 PM GMT+1","Sim","Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Internet Archvives;Acervos de Arquivos Públicos (Arquivo Nacional, APEB, APERJ, etc);Brasil Nunca mais","Marxist Internet Archive","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","4","Amplia enormemente o acesso a bases documentais que, de outro modo, seria impossibilitado ou extremamente dificultado pelos custos.","2","2","Sim","Sim","Sim","Sim","Primeiro eu identifico o repositório a partir de quem o organiza e mantém, quem financia, quem se responsabiliza e procuro colher informações de usuários a respeito da confiabilidade do acervo; depois eu identifico o modo como está constituído e as formas mais eficientes de acessar informações que me interessem; depois, a depender do que for descoberto nos passos anteriores, traço a estratégia de coleta de dados.","4","4","4","4","5","4","4","3","Não sei responder","Sim","Programação;Ferramentas ligadas à construção de acervos e exposições","Análise qualitativa;Análise textual",""
"2022/05/12 6:13:34 PM GMT+1","Sim","Hemeroteca Digital Brasileira;JusBrasil;FamilySearch;Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Internet Archvives;Portal Domínio Público;Repositórios Institucionais de Universidades Privadas (teses, dissertações, monografias);Biblioteca Nacional Digital;Periódicos Capes;Biblioteca do Congresso (EUA)","Repositários Institucionais das Universidades Públicas","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","5","O uso do repositário tem viabilizado pesquisas, sobretudo financeiramente, uma vez que noutros tempos necessitava o deslocamento físico até o arquivo/acervo/instituição. Outro fator, tem sido a possibilidade de cotejamento maior entre as fortes, inclusive de outros países, como a Biblioteca do Congresso (EUA) e períodicos que versem sobre assunto correlato na Biblioteca Nacional.","4","5","Não","Sim","Sim","Sim","Busco checar se os resultados das buscas coincidem com o que existe no acervo ou com o que foi digitalizado","2","1","2","3","1","1","3","2","Sim","Sim","Instrumentos de obtenção e gestão de dados;Instrumentos de análise;Acesso a base de dados;Ferramentas ligadas à construção de acervos e exposições;Ensino de história","Sistema de informação geográfica;Análise de séries temporais;Análise textual;Edição digital","sem comentários"
"2022/05/12 7:16:10 PM GMT+1","Sim","Hemeroteca Digital Brasileira;Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Portal Domínio Público;Biblioteca Nacional Digital","Biblioteca Nacional e FSP digital","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","5","Maior possibilidade de pesquisa ","4","4","Não","Sim","Sim","Sim","Utilização do Excel para cruzar informações ","4","4","3","3","4","3","4","3","Sim","Sim","Instrumentos de análise;Ferramentas ligadas à construção de acervos e exposições;Ensino de história","Análise qualitativa;Análise textual",""
"2022/05/16 2:01:35 PM GMT+1","Sim","Repositórios Institucionais de Universidades Públicas (teses, dissertações, monografias);Internet Archvives;Biblioteca Digital do Senado;Biblioteca Digital da Câmara dos Deputados;Portal Brasileiro de Dados Abertos;Portal Domínio Público;Periódicos Capes","Periódicos CAPES","Mais de 5 anos","em conjunto com outras fontes em suportes não digitais.","5","O deslocamento a arquivos e bibliotecas tomou-se desnecessário e qa flexiblilização de horário, por exemplo","5","5","Sim","Sim","Sim","Não","","2","2","5","5","4","2","4","2","Não sei responder","Sim","Instrumentos de obtenção e gestão de dados;Instrumentos de análise;Acesso a base de dados;Programação;Ferramentas ligadas à construção de acervos e exposições;Meio de comunicação e disseminação de pesquisas","Sistema de informação geográfica;Análise de redes;Análise de séries temporais;Análise qualitativa;Análise textual;Edição digital;Gestão de base de dados",""